event_id,event_type,date,location
EVNT_100,Annual Fundraiser,2025-01-01,Site_01
EVNT_101,Community Outreach,2025-01-01,Site_02
EVNT_102,Community Outreach,2025-01-04,Site_01
EVNT_103,Mentorship Session,2025-01-04,Site_02
EVNT_104,Operational Support,2025-01-04,Site_03
EVNT_105,Community Outreach,2025-01-08,Site_02
EVNT_106,Mentorship Session,2025-01-08,Site_03
EVNT_107,Mentorship Session,2025-01-08,Site_04
EVNT_108,Community Outreach,2025-01-11,Site_01
EVNT_109,Mentorship Session,2025-01-11,Site_02
EVNT_110,Community Outreach,2025-01-11,Site_03
EVNT_111,Mentorship Session,2025-01-11,Site_05
EVNT_112,Annual Fundraiser,2025-01-15,Site_02
EVNT_113,Mentorship Session,2025-01-15,Site_03
EVNT_114,Community Outreach,2025-01-15,Site_05
EVNT_115,Mentorship Session,2025-01-18,Site_02
EVNT_116,Mentorship Session,2025-01-18,Site_03
EVNT_117,Mentorship Session,2025-01-18,Site_04
EVNT_118,Community Outreach,2025-01-18,Site_05
EVNT_119,Operational Support,2025-01-22,Site_02
EVNT_120,Operational Support,2025-01-22,Site_03
EVNT_121,Annual Fundraiser,2025-01-22,Site_04
EVNT_122,Mentorship Session,2025-01-25,Site_03
EVNT_123,Mentorship Session,2025-01-25,Site_05
EVNT_124,Mentorship Session,2025-01-29,Site_02
EVNT_125,Mentorship Session,2025-01-29,Site_03
EVNT_126,Operational Support,2025-01-29,Site_04
EVNT_127,Operational Support,2025-02-01,Site_02
EVNT_128,Operational Support,2025-02-01,Site_03
EVNT_129,Mentorship Session,2025-02-01,Site_05
EVNT_130,Community Outreach,2025-02-05,Site_01
EVNT_131,Mentorship Session,2025-02-05,Site_02
EVNT_132,Mentorship Session,2025-02-05,Site_03
EVNT_133,Community Outreach,2025-02-05,Site_04
EVNT_134,Community Outreach,2025-02-05,Site_05
EVNT_135,Operational Support,2025-02-08,Site_02
EVNT_136,Operational Support,2025-02-08,Site_03
EVNT_137,Community Outreach,2025-02-08,Site_04
EVNT_138,Mentorship Session,2025-02-08,Site_05
EVNT_139,Mentorship Session,2025-02-12,Site_03
